ID,Label,Continent,Region,latitude,longitude
422,Lebanon,Asia,Asia,33.854721,35.862285
426,Lesotho,Africa,Africa,-29.609988,28.233608
430,Liberia,Africa,Africa,33.854721,35.862285
434,Libya,Africa,Africa,33.854721,35.862285
440,Lithuania,Europe,Europe,55.169438,23.881275
442,Luxembourg,Europe,Europe,49.815273,6.129583
450,Madagascar,Africa,Africa,47.411631,28.369885
454,Malawi,Africa,Africa,-13.254308,34.301525
458,Malaysia,Asia,Asia,4.210484,101.975766
462,Maldives,Asia,Seven seas (open ocean),47.411631,28.369885
466,Mali,Africa,Africa,17.570692,-3.996166
470,Malta,Europe,Europe,17.570692,-3.996166
584,Marshall Isds,Oceania,Oceania,7.131474,171.184478
478,Mauritania,Africa,Africa,21.00789,-10.940835
480,Mauritius,Africa,Seven seas (open ocean),-20.348404,57.552152
175,Mayotte,Africa,Africa,-12.8275,45.166244
484,Mexico,Americas,North America,42.708678,19.37439
496,Mongolia,Asia,Asia,46.862496,103.846656
499,Montenegro,Europe,Europe,46.862496,103.846656
500,Montserrat,Americas,North America,16.742498,-62.187366
504,Morocco,Africa,Africa,31.791702,-7.09262
508,Mozambique,Africa,Africa,22.198745,113.543873
104,Myanmar,Asia,Asia,21.913965,95.956223
580,N. Mariana Isds,Asia,Asia,17.33083,145.38469
516,Namibia,Africa,Africa,-22.95764,18.49041
520,Nauru,Oceania,Oceania,-0.522778,166.931503
524,Nepal,Asia,Asia,28.394857,84.124008
528,Netherlands,Europe,Europe,52.132633,5.291266
540,New Caledonia,Oceania,Oceania,-20.904305,165.618042
554,New Zealand,Oceania,Oceania,-40.900557,174.885971
558,Nicaragua,Americas,North America,12.865416,-85.207229
562,Niger,Africa,Africa,17.607789,8.081666
566,Nigeria,Africa,Africa,9.081999,8.675277
570,Niue,Oceania,Oceania,12.865416,-85.207229
574,Norfolk Isds,Oceania,Oceania,-29.040835,167.954712
637,"North America and Central America, nes",Americas,North America,0,0
579,Norway,Europe,Europe,60.472024,8.468946
527,"Oceania, nes",Oceania,Oceania,0,0
512,Oman,Asia,Asia,21.512583,55.923255
577,"Other Africa, nes",Africa,Africa,0,0
490,"Other Asia, nes",Asia,Asia,0,0
568,"Other Europe, nes",Europe,Europe,0,0
586,Pakistan,Asia,Asia,8.537981,-80.782127
585,Palau,Oceania,Oceania,51.919438,19.145136
591,Panama,Americas,North America,8.537981,-80.782127
598,Papua New Guinea,Oceania,Oceania,-24.703615,-127.439308
600,Paraguay,Americas,South America,18.220833,-66.590149
604,Peru,Americas,South America,-9.189967,-75.015152
608,Philippines,Asia,Asia,12.879721,121.774017
612,Pitcairn,Oceania,Oceania,-24.703615,-127.439308
616,Poland,Europe,Europe,51.919438,19.145136
620,Portugal,Europe,Europe,18.220833,-66.590149
634,Qatar,Asia,Asia,25.354826,51.183884
410,Rep. of Korea,Asia,Asia,35.907757,127.766922
498,Rep. of Moldova,Europe,Europe,47.411631,28.369885
642,Romania,Europe,Europe,45.943161,24.96676
643,Russian Federation,Europe,Europe,61.52401,105.318756
646,Rwanda,Africa,Africa,-1.940278,29.873888
652,Saint Barthelemy,Americas,North America,0,0
654,Saint Helena,Americas,North America,-24.143474,-10.030696
659,Saint Kitts and Nevis,Americas,North America,17.357822,-62.782998
662,Saint Lucia,Americas,North America,13.909444,-60.978893
534,Saint Maarten,Americas,North America,0,0
666,Saint Pierre and Miquelon,Americas,North America,46.941936,-56.27111
670,Saint Vincent and the Grenadines,Americas,North America,12.984305,-61.287228
882,Samoa,Oceania,Oceania,-13.759029,-172.104629
674,San Marino,Europe,Europe,43.94236,12.457777
678,Sao Tome and Principe,Africa,Africa,0.18636,6.613081
682,Saudi Arabia,Asia,Asia,23.885942,45.079162
686,Senegal,Africa,Africa,60.128161,18.643501
688,Serbia,Europe,Europe,3.919305,-56.027783
690,Seychelles,Africa,Seven seas (open ocean),34.802075,38.996815
694,Sierra Leone,Africa,Africa,8.460555,-11.779889
702,Singapore,Asia,Asia,1.352083,103.819836
703,Slovakia,Europe,Europe,13.794185,-88.89653
705,Slovenia,Europe,Europe,13.794185,-88.89653
90,Solomon Isds,Oceania,Oceania,8.460555,-11.779889
706,Somalia,Africa,Africa,5.152149,46.199616
710,South Africa,Africa,Africa,-30.559482,22.937506
239,South Georgia and the South Sandwich Islands,Asia,Asia,-54.429579,-36.587909
728,South Sudan,Africa,Africa,12.862807,30.217636
724,Spain,Europe,Europe,40.463667,-3.74922
839,Special Categories,0,0,0,0
144,Sri Lanka,Asia,Asia,7.873054,80.771797
275,State of Palestine,Asia,Asia,31.952162,35.233154
729,Sudan,Africa,Africa,12.862807,30.217636
740,Suriname,Americas,South America,3.919305,-56.027783
748,Swaziland,Africa,Africa,-26.522503,31.465866
752,Sweden,Europe,Europe,60.128161,18.643501
757,Switzerland,Europe,Europe,46.818188,8.227512
760,Syria,Asia,Asia,34.802075,38.996815
762,Tajikistan,Asia,Asia,38.861034,71.276093
807,TFYR of Macedonia,Europe,Europe,41.608635,21.745275
764,Thailand,Asia,Asia,15.870032,100.992541
626,Timor-Leste,Oceania,Oceania,-8.874217,125.727539
768,Togo,Africa,Africa,8.619543,0.824782
772,Tokelau,Oceania,Oceania,-8.967363,-171.855881
776,Tonga,Oceania,Oceania,-21.178986,-175.198242
780,Trinidad and Tobago,Americas,North America,10.691803,-61.222503
788,Tunisia,Africa,Africa,33.886917,9.537499
792,Turkey,Asia,Asia,38.963745,35.243322
